UPC,SKU,Description,Color Code,Brand
100000100066,OF00014,Dune - Cognac,CG01,OptiFrame
100000100067,OF00014,Dune - Amber,AM01,OptiFrame
100000100068,OF00014,Dune - Honey Tortoise,TT02,OptiFrame
100000100069,OF00015,Lagoon - Black,BK01,OptiFrame
100000100070,OF00015,Lagoon - Navy,NV01,OptiFrame
100000100071,OF00015,Lagoon - Ocean Blue,NV02,OptiFrame
100000100072,OF00015,Lagoon - Teal,TL01,OptiFrame
100000100073,OF00015,Lagoon - Grey,GY01,OptiFrame
100000100074,OF00016,Mesa - Black,BK01,OptiFrame
100000100075,OF00016,Mesa - White,WH01,OptiFrame
100000100076,OF00016,Mesa - Crystal Clear,CC01,OptiFrame
100000100077,OF00016,Mesa - Brown Tortoise,TT01,OptiFrame
100000100078,OF00016,Mesa - Grey,GY01,OptiFrame
100000100079,OF00016,Mesa - Olive,OL01,OptiFrame
100000100080,OF00017,Cove - Black,BK01,OptiFrame
100000100081,OF00017,Cove - Crystal Black,BK03,OptiFrame
100000100082,OF00017,Cove - Matte Black,BK02,OptiFrame
100000100083,OF00017,Cove - Honey Tortoise,TT02,OptiFrame
100000100084,OF00017,Cove - Rose Gold,RG01,OptiFrame
100000100085,OF00018,Bluff - Matte Black,BK02,OptiFrame
100000100086,OF00018,Bluff - Grey,GY01,OptiFrame
100000100087,OF00018,Bluff - Navy,NV01,OptiFrame
100000100088,OF00018,Bluff - Silver,SV01,OptiFrame
100000100089,OF00018,Bluff - Burgundy,BG01,OptiFrame
100000100090,OF00019,Creek - Black,BK01,OptiFrame
100000100091,OF00019,Creek - Crystal Clear,CC01,OptiFrame
100000100092,OF00019,Creek - Smoke,GY02,OptiFrame
100000100093,OF00019,Creek - Ocean Blue,NV02,OptiFrame
100000100094,OF00019,Creek - Gold,GD01,OptiFrame
100000100095,OF00020,Fjord - Black,BK01,OptiFrame
100000100096,OF00020,Fjord - White,WH01,OptiFrame
100000100097,OF00020,Fjord - Silver,SV01,OptiFrame
100000100098,OF00020,Fjord - Rose Gold,RG01,OptiFrame
100000100099,OF00020,Fjord - Forest Green,FG01,OptiFrame
100000100100,OF00021,Heath - Matte Black,BK02,OptiFrame
100000100101,OF00021,Heath - Crystal Black,BK03,OptiFrame
100000100102,OF00021,Heath - Brown Tortoise,TT01,OptiFrame
100000100103,OF00021,Heath - Cognac,CG01,OptiFrame
100000100104,OF00021,Heath - Amber,AM01,OptiFrame
100000100105,OF00022,Isle - Black,BK01,OptiFrame
100000100106,OF00022,Isle - Crystal Clear,CC01,OptiFrame
100000100107,OF00022,Isle - Honey Tortoise,TT02,OptiFrame
100000100108,OF00022,Isle - Grey,GY01,OptiFrame
100000100109,OF00022,Isle - Navy,NV01,OptiFrame
100000100110,OF00022,Isle - Rose Gold,RG01,OptiFrame
100000100111,OF00023,Jetty - Matte Black,BK02,OptiFrame
100000100112,OF00023,Jetty - White,WH01,OptiFrame
100000100113,OF00023,Jetty - Silver,SV01,OptiFrame
100000100114,OF00023,Jetty - Gold,GD01,OptiFrame
100000100115,OF00024,Knox - Black,BK01,OptiFrame
100000100116,OF00024,Knox - Crystal Black,BK03,OptiFrame
100000100117,OF00024,Knox - Grey,GY01,OptiFrame
100000100118,OF00024,Knox - Navy,NV01,OptiFrame
100000100119,OF00024,Knox - Burgundy,BG01,OptiFrame
100000100120,OF00024,Knox - Olive,OL01,OptiFrame
100000100121,OF00025,Loch - Black,BK01,OptiFrame
100000100122,OF00025,Loch - Matte Black,BK02,OptiFrame
100000100123,OF00025,Loch - Brown Tortoise,TT01,OptiFrame
100000100124,OF00025,Loch - Dark Tortoise,TT03,OptiFrame
100000100125,OF00025,Loch - Smoke,GY02,OptiFrame
100000100126,OF00025,Loch - Ocean Blue,NV02,OptiFrame
100000100127,OF00025,Loch - Cognac,CG01,OptiFrame
